CompanyName,Phone,Email,Website,Street,City,Province,Postal Code,Country,Badges,CitrixRelationship
"Central Technology Services Corporation","905 8299480","christina@ecentral.org","http://www.ecentral.org","1400 Cornwall Rd, Unit 5","Oakville","ON","L6J 7W5","CA","Citrix Solution Advisor - silver",
"Ceritar Technologies Inc","579 721 1354","cloud@ceritar.com","http://Www.ceritar.com","2255 Fernand-Lafontaine Boul Suite 300","Longueuil","QC","J4G 2R8","CA","Citrix Solution Advisor - silver",
"CGI","001 514 4153000","info@cgi.com","http://www.cgi.com","1350 Rene-Levesque Boul W","Montreal","QC","H3G 1T4","CA","Citrix Solution Advisor - silver",
"Charter Telecom Inc","1 778 4102503","kelly@charter.ca","http://www.charter.ca","1979 Impala Rd","Victoria","BC","V9C 4C1","CA","Citrix Solution Advisor - silver",
"CloudSilicon","1 888 2665334","support@cloudsilicon.com","http://www.cloudsilicon.com","6200 Dixie Rd Suite 221","Mississauga","ON","L5T 2E1","CA","Citrix Solution Advisor - silver",
"Coast Salish Technologies","001 604 4248291","info@coastsalishtech.ca","http://coastsalishtech.ca","23684 Gabriel Lane","Langley","BC","V1M 2S4","CA","Citrix Solution Advisor - silver",
"Cobi Informatique Inc.","1 450 2662420","vente@cobi.ca","http://www.cobi.ca","127 Principale Rue Suite 103","Cowansville","QC","J2K 1J3","CA","Citrix Solution Advisor - silver",
"Cogeco Data Services","1 416 5993282","dtempleton@quiettouch.com","www.quiettouch.com","145 King St W","Toronto","ON","M5H 1J8","CA","Citrix Solution Advisor - silver",
"Commerx","1 905 5429400","ian.vaudry@commerx.ca","www.commerx.ca","2880 Argentia Rd","Mississauga","ON","L5N 7X8","CA","Citrix Solution Advisor - silver",
"ComplyTec Inc.","1 416 4105599","sales@complytec.com","http://www.complytec.com","1443 Hurontario Street Suite 100","Mississauaga","ON","L5G 3H5","CA","Citrix Solution Advisor - silver",
"Compu-SOLVE Technologies Inc.","1 705 5286000","rob@csolve.net","www.csolve.net","361 King Street","Midland","ON","L4R 3M7","CA","Citrix Solution Advisor - silver",
"Compu-SOLVE Technologies Inc.","705 528 6000","rob@csolve.net","http://www.csolve.net","361 King St","Midland","ON","L4R 3M7","CA","Citrix Solution Advisor - silver",
"COMPUNET INFOTECH INC.","001 604 9868170","info@compunet.ca","http://compunet.ca","105 15th St E Suite 105","North Vancouver","BC","V7L 2P7","CA","Citrix Solution Advisor - silver",
"Concept Computer Corporation","1 905 5671829","rgoldson@conceptcomputer.com","www.conceptcomputer.com","2176 Torquay Mews","Mississauga","ON","L5N 2M6","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"Constant C Technology Group","1 204 9922231","sales@constantc.com","http://www.constantc.com","294 Portage Ave Suite 816","Winnipeg","MB","R3C 0B9","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"Contego Tech Solutions","001 403 7754580","sales@contegotech.ca","http://www.contegotech.ca","706 7 Ave SW Suite 750","Calgary","AB","T2P 0Z1","CA","Citrix Solution Advisor - silver",
"Core Information Technologies","001 604 6324110","kim.hikichi@coreit.ca","http://www.coreit.ca","2410 Charles St","Vancouver","BC","V5R 6C4","CA","Citrix Solution Advisor - silver",
"Cortex G̩nie Humain","514 788 7747","info@cortexgh.com","http://cortexgh.com","460 Sainte-Catherine Rue O Bureau 307","Montreal","QC","H3B 1A7","CA","Citrix Solution Advisor - silver",
"CPG Systems","1 604 3368133","ask.us@cpgsystems.ca","http://cpgsystems.ca","301 2818 Main St","Vancouver","BC","V5T 0C1","CA","Citrix Solution Advisor - silver",
"Cpu Service inc.","1 418 6816974","p.levesque@cpu.qc.ca","www.cpu.qc.ca","2323 du Versant-Nord Boul Suite 100","Quebec","QC","G1N 4P4","CA","Citrix Solution Advisor - silver",
"Crystalsearch Consulting","001 403 4733105","oagbi@crystalsearchconsulting.com","http://crystalsearchconsulting.com","62 Copperfield Cres SE","Calgary","AB","T2Z 4L6","CA","Citrix Solution Advisor - silver",
"Cybertech Informatique & T̩l̩communications Inc.","1 418 6923491","contact@cit-direct.com","http://www.cit-direct.com/","St-Roch Rue Suite 330 330","Quebec","QC","G1K 6S2","CA","Citrix Solution Advisor - silver",
"Cybertual Systems Inc.","001 647 9986559","info@cybertual.com","http://www.cybertual.com","7111 Syntex Drive, 3rd Floor","Mississauga","ON","L5N 8C3","CA","Citrix Solution Advisor - silver",
"Dacom Technical Services Inc.","1 905 57521027","dave@dacom.ca","www.dacom.ca","7170 Warden Ave Suite 13","Markham","ON","L3R 8B3","CA","Citrix Solution Advisor - silver",
"DANAIS Technologies","1 204 2229666","sales@danais.ca","http://www.danais.ca","421 Mulvey Avenue East","Winnipeg","MB","R3L 0R6","CA","Citrix Solution Advisor - silver",
"Data Access Technologies Inc.","001 905 8365440","info@dataaccess.ca","http://www.dataaccess.ca","17705B Leslie St Unit 8","Newmarket","ON","L3Y 3E3","CA","Citrix Solution Advisor - silver",
"Data Integrity Inc","416 638 0111","jausten@dataintegrity.ca","http://dataintegrity.ca/","810 Steeprock Dr","North York","ON","M3J 2X2","CA","Citrix Solution Advisor - silver",
"Dataworld Canada Inc","1 514 7386350","laura@dataworld.ca","www.dataworld.ca","247 Dunbar Ave.","Montreal","QC","H3P 2H4","CA","Citrix Solution Advisor - silver",
"Define Mobility","001 416 8550509","jesse.singh@definemobility.com","http://www.definemobility.com","2 Bloor Street Eastsuitesuitesui Suite 450","Toronto","ON","M4W 1A8","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"Digica Solutions","647 723 9300","george.anderson@digica.ca","http://www.digica.ca","47 Morgandale Cres","Orangeville","ON","L9W 3C6","CA","Citrix Solution Advisor - silver",
"Direct Tec Inc.","011 403 2710882","sales@directtec.ca","http://www.directtec.ca","2816 11 St NE Suite 202","Calgary","AB","T2E 7S7","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"DNS IT Consultants","1 416 8575305","shree@dnsitconsultants.com","http://www.dnsitconsultants.com","105 Bellrock Dr","Scarborough","ON","M1V 3G5","CA","Citrix Solution Advisor - silver",
"Drummond Info Plus","1 819 94780994","bvilleneuve@infoplus.ca","http://www.infoplus.ca","1240, Saint-Joseph Boul","Drummondville","QC","J2C 2E1","CA","Citrix Solution Advisor - silver",
"Drummond Informatique Ltee","1 819 5699663","mboisvert@microage-dil.ca","http://www.microage-dil.ca","740 rue Galt Ouest Suite 300","Sherbrooke","QC","J1H 1Z3","CA","Citrix Solution Advisor - silver",
"DTM Systems Corp","1 604 2576700","clm@dtm.ca","http://www.dtm.ca","2323 Boundary Rd Suite 130","Vancouver","BC","V5M 4V8","CA","Citrix Solution Advisor - silver",
"Duologik Solutions, div. of 2207523 Ontario Inc.","1 905 7094900","zoreena@duologik.com","http://www.duologik.com","100 Leek Crescent Unit 9","Richmond Hill","ON","L4B 3E6","CA","Citrix Solution Advisor - silver",
"E-Tech Computers Inc.","001 604 2731995","tlee@e-techcomputers.com","http://www.e-techcomputers.com","13700 Mayfield Pl Suite 1105","Richmond","BC","V6V 2E4","CA","Citrix Solution Advisor - silver",
"E2 Networks","1 905 2050404","support@e2networks.ca","http://www.e2networks.ca","23 Ida Jane Grove","Stouffville","ON","L4A 0S3","CA","Citrix Solution Advisor - silver",
"Eastbay I.T. Consulting Inc.","1 416 8489493","jridout@eastbay.ca","http://www.eastbay.ca","110 Spadina Ave","Toronto","ON","M5V 2K4","CA","Citrix Solution Advisor - silver",
"Edge Hosting Inc.","647 557 3433","atef@edgehosting.ca","http://www.edgehosting.ca","3601 Highway 7 Suite 400","Markham","ON","L3R 0M3","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"Edgetech Computing Inc.","1 403 2375331","abraid@edgetechcomputing.com","http://www.edgetechcomputing.com/","1117-1St SW St Suite 103","Calgary","AB","T2R 0T9","CA","Citrix Solution Advisor - silver",
"EmbeddedSoft","647 400 2102","ranko@embeddedsoft.ca","http://www.embeddedsoft.ca","153 Beecroft Rd Penthouse 108","Toronto","ON","M2N 7C5","CA","Citrix Solution Advisor - silver",
"Enterprise Management Systems Inc (EMSI)","1 902 22094456","cskinner@emsisolutions.com","www.emsisolutions.com","23 Belle St","Bedford","NS","B4B 1S8","CA","Citrix Solution Advisor - silver",
"Epic Information Solutions","1 204 4532300","info@epic.ca","www.epic.ca","167 Sherbrook St","Winnipeg","MB","R3C 2B7","CA","Citrix Solution Advisor - silver",
"ESI Technologies. INC","514 7453311","sbrunet@esitechnologies.com","http://esitechnologies.com","1550-1100 Metcalfe Street","Montreal","QC","H3A 1X6","CA","Citrix Solution Advisor - silver",
"Esyx Consulting Inc.","1 647 4943352","info@esyxconsulting.com","http://www.esyxconsulting.com","2960 Dancer Crt","Mississauga","ON","L5L 1Y4","CA","Citrix Solution Advisor - silver",
"EurOuest Inc.","514 591 8307","harold.walker@eurouest.net","http://www.EurOuest.net","19480 Elkas Boul","Kirkland","QC","H9J 3L3","CA","Citrix Solution Advisor - silver",
"eVolution Hosting Solutions Inc","888 7842322","rsalmon@officeport.ca","http://www.officeport.ca","5816 St Margarets Bay Rd","Halifax","NS","B3Z 2E4","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"Evron Computer Systems Corp.","1 905 4770444","lnoble@evron.com","http://www.evron.com","5 Denison St","Markham","ON","L3R 1B5","CA","Citrix Solution Advisor - silver",
"Excell IT Inc.","905 673 3049","sales@excellit.com","http://www.excellit.com","6300 Tomken Rd","Mississauga","ON","L5T 1N2","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"EZ Networks Inc","1 647 4785700","info@ez-net.ca","http://ez-net.ca","751 Grand Banks Dr","Waterloo","ON","N2K 4N2","CA","Citrix Solution Advisor - silver",
"F4 Solutions Inc.","1 514 3121350","dominic.fleurent@f4-solutions.com","http://www.f4-solutions.com","1255 rue University suite 1416","Montreal","QC","H3B 3X1","CA","Citrix Solution Advisor - silver",
"Fact Computers","1 306 65698112","mfritzler@factcomp.com","www.factcomp.com","2132 Broad St","Regina","SK","S4P 1Y5","CA","Citrix Solution Advisor - silver",
"FlexITy Solutions Inc.","1 866 7993539","info@flexity.com","http://www.flexity.com","45 Vogell Rd 8th Floor","Richmond Hill","ON","L4B 3P6","CA","Citrix Solution Advisor - silver",
"Fortify Network Solutions Inc.","1 705 2914357","jacques.fortin@fortify.ca","www.fortify.ca","2 Queen St","Cookstown","ON","L0L 1L0","CA","Citrix Solution Advisor - silver",
"FSET","001 807 4683738","citrix@fset.ca","http://www.fset.ca","69 PO Box","Kenora","ON","P9N 3X1","CA","Citrix Solution Advisor - silver",
"Future 2000 Systems Inc.","1 905 54058844","bud.sukhu@future2000.net","www.future2000.net","15-6980 Maritz Dr.","Mississauga","ON","L5W 1Z3","CA","Citrix Solution Advisor - silver",
"Futurebound Corp.","647 830 7705","pstoev@futurebnd.com","http://futurebnd.com","2300 Yonge St 1600 - 2300 Yong","Toronto","ON","M4P 1E4","CA","Citrix Solution Advisor - silver",
"GAM Technical Services Inc","001 403 7680900","info@gamtech.ca","http://gamtech.ca","2835 19 St NE Suite 4A","Calgary","AB","T2E 7A2","CA","Citrix Solution Advisor - silver",
"GC Brieau Inc.","819 563 0694","mabrillant@gcbrieau.om","http://gcbrieau.com/","65 Belv̩dere Rue","Sherbrooke","QC","J1H 6E9","CA","Citrix Solution Advisor - silver",
"GenieAll","866 214 7863","info@genieall.com","http://www.genieall.com","2275 Lake Shore Blvd W Wsuite 507","Etobicoke","ON","M8V 3Y3","CA","Citrix Solution Advisor - silver",
"Goede & Associates Inc.","1 905 53322328","dgoede@goede.ca","http://www.goede.ca","1100 Burloak Dr","Burlington","ON","L2L 6B2","CA","Citrix Solution Advisor - silver",
"Goldpals Inc.","1 877 4653731","toronto@goldpals.com","http://www.goldpals.com","251 Queen St S Suite 233","Mississauga","ON","L5M 1L7","CA","Citrix Solution Advisor - silver",
"GoodWinWin.com Inc.","1 416 6177681","citrix@goodwinwin.com","http://www.goodwinwin.com","3583 Sheppard Ave E Suite 126","Toronto","ON","M1T 3K8","CA","Citrix Solution Advisor - silver",
"Graycon Group Ltd","1 403 5082255","purchasing@graycon.com","http://www.graycon.com","325 10th Ave SW","Calgary","AB","T2R 0A5","CA","Citrix Solution Advisor - silver",
"Groupe Nexio","001 514 8406757","patrick.bernard@nexio.com","http://www.nexio.com","2050 de Bleury Rue Suite 500","Montreal","QC","H3A 2J5","CA","Citrix Solution Advisor - silver",
"Groupe SDP","1 418 9904737","mberard@groupesdp.com","http://www.groupesdp.com","710 Bouvier Rue Suite 235","Quebec","QC","G2J 1C2","CA","Citrix Solution Advisor - silver",
"GT Global Services Inc.","800 977 5117","info@gtglobal.ca","http://www.gtglobal.ca","110 Cochrane Dr Bldg A","Markham","ON","L3R 9S1","CA","Citrix Solution Advisor - silver",
"Hanatech Inc.","1 902 8017922","sales@hanatechinc.com","http://www.hanatech.ca","592 Bedford Hwy Unit 2","Halifax","NS","B3M 2L8","CA","Citrix Solution Advisor - silver",
"HDS Inc.","1 416 6371969","sales@hds.ca","http://www.hds.ca","43 Royal Amber Cres","Mount Albert","ON","L0G 1M0","CA","Citrix Solution Advisor - silver",
"Hi-Tech Business Systems Ltd","1 780 05384128","darrelg@hitechgp.com","http://www.hitechgp.com","10115 100 Ave","Grande Prairie","AB","T8V 0V4","CA","Citrix Solution Advisor - silver",
"HLB System Solutions","1 519 98223450","lberglund@hlbsolutions.com","www.hlbsolutions.com","50 Malcolm Rd Suite 1","Guelph","ON","N1K 1A9","CA","Citrix Solution Advisor - silver",
"Horizon Computer Solutions Inc","306 3066655666","dcarruthers@horizon.ca","www.horizon.ca","360 1st Ave N","Saskatoon","SK","S7K 1X4","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"HyCloud Computing Inc.","905 339 1940","sales@hycloud.ca","http://www.hycloud.ca","2401 Royal Windsor Dr","Oakville","ON","L6J 7X6","CA","Citrix Solution Advisor - silver",
"Hyper Technologies, Inc","1 416 4730162","john.kadianos@hypert.com","http://www.hypert.com","14845-6 Yonge st suite 381","Aurora","ON","L4G 6H8","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"Hypertec","1 514 7454540","mmarracino@hypertec.ca","www.hypertec.ca","9300 Trans Canada Hwy","Ville-St-Laurent","QC","H4S 1K5","CA","Citrix Solution Advisor - silver",
"i-Virtualize International Inc.","001 647 3671446","info@i-virtualize.com","http://www.i-virtualize.com","44 Simpson Ave","Hannon","ON","L0R 1P0","CA","Citrix Solution Advisor - silver",
"I2RI Services","001 514 2667615","a.draidi@i2ri.com","http://www.i2ri.com","7501 Papineau Av Suite A","Montreal","QC","H2E 2G9","CA","Citrix Solution Advisor - silver",
"iAdvance IT","888 907 9005","info@iadvanceit.ca","http://iadvanceit.ca","6 Guinevere Crt","Richmond Hill","ON","L4C 0P7","CA","Citrix Solution Advisor - silver",
"ICC Technologies","450 6827200","citrix@icc.qc.ca","http://www.icc.qc.ca","4885 Aut 440 Laval Ouest","Laval","","H7P 5P9","CA","Citrix Solution Advisor - silver",
"ICT Network Systems Inc.","1 905 8988552","peter@ictnetworksystems.ca","http://www.ictnetworksystems.ca","110 Pony Dr Suite 10","Newmarket","ON","L3Y 7B6","CA","Citrix Solution Advisor - silver",
"Idealogical Systems Inc.","1 416 4105030","andrev@idealogical.com","www.idealogical.com","2900 John St Suite 400","Markham","ON","L3R 5G3","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"IDS Systems","1 613 8366708","sales@idssystems.com","http://www.idssystems.com","232 Herzberg Rd Suite 201","Kanata","ON","K2K 2A1","CA","Citrix Solution Advisor - silver",
"INDUSFLOW Systems","1 905 9400751","info@indusflow.com","http://www.indusflow.com","7481 Woodbine Ave Suite 203","Markham","ON","L3R 2W1","CA","Citrix Solution Advisor - silver",
